source_id,role,path,needle,exists,needle_found,valid_for_claim,timestamp_utc
SRC3974_10_owner_O7,owner verdict,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_ACTION_OWNER_ATTEMPT.csv,O7_parent_owner_verdict,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_11_repair_R0,repair scalar boundary action,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_PREMISE_REPAIR_LEDGER.csv,R0_parent_scalar_boundary_action,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_12_repair_R1,repair marker exclusion,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_PREMISE_REPAIR_LEDGER.csv,R1_no_marker_exclusion,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_13_repair_R2,repair full variation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_PREMISE_REPAIR_LEDGER.csv,R2_full_boundary_variation,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_14_repair_R3,repair stationary collar,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_PREMISE_REPAIR_LEDGER.csv,R3_stationary_collar_equations,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_15_repair_R4,repair flux zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_PREMISE_REPAIR_LEDGER.csv,R4_flux_zero,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_16_repair_R5,repair derivative silence,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_PREMISE_REPAIR_LEDGER.csv,R5_constant_monopole_derivative_silence,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_17_alpha3_gate,alpha3 theorem-zero gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_ALPHA3_THEOREM_ZERO_GATE.csv,TG_boundary_zero,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_18_stack_T1,boundary stress theorem stack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_R11_BOUNDARY_STRESS_THEOREM_STACK.csv,T1_boundary_scalar_no_flux,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_19_stack_T6,channel guard,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_R11_BOUNDARY_STRESS_THEOREM_STACK.csv,T6_channel_guard,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_20_action_A3,source-owner boundary action term,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_source_owner_parent_action_terms_CONTRACT.csv,A3_boundary_class_topological,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_21_localzero_P1,local-zero boundary premise,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_LOCAL_ZERO_EXTRA_PREMISE_REQUIREMENTS.csv,P1_boundary_scalar_no_flux,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_22_premise_P0,premise scalar-only data,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_ALPHA3_PREMISE_OWNERSHIP.csv,P0_scalar_only_boundary_data,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_23_premise_P1,premise no marker,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_ALPHA3_PREMISE_OWNERSHIP.csv,P1_no_material_boundary_marker,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_24_premise_P4,premise Ward flux,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_ALPHA3_PREMISE_OWNERSHIP.csv,P4_Ward_flux_closure,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_25_premise_P5,premise constant monopole,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_ALPHA3_PREMISE_OWNERSHIP.csv,P5_constant_monopole_calibration,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_26_minimal_contract,minimal no-hair contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BOUNDARY_REFERENCE_MINIMAL_ACTION_CONTRACT.csv,MAC545_4_boundary_no_vector_tensor_hair,True,True,False,2026-07-01T16:13:24+00:00
