source_id,path_or_url,anchor,role,path_exists,anchor_found,valid_for_claim,claim_allowed,generated_utc
SRC2817_11_1534_nohair,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1534_LOCAL_LOCKING_NOHAIR_THEOREM.csv,NH1534_5_double_zero_impact,local lock impact,True,True,False,False,2026-06-24T03:39:03.291516+00:00
SRC2817_12_1534_leak,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1534_QUADRATIC_LEAKAGE_BOUND_CONTRACT.csv,LEAK1534_5_Kchain_bound,leakage bound contract,True,True,False,False,2026-06-24T03:39:03.291829+00:00
SRC2817_13_1536_nlock,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1536_NLOCK_ENVELOPE_CONTRACT.csv,NLOCK1536_5_lock_norm,N_lock envelope,True,True,False,False,2026-06-24T03:39:03.292131+00:00
SRC2817_14_1536_silence,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1536_EXACT_SILENCE_AUDIT.csv,SIL1536_6_exact_lock,exact lock not proved,True,True,False,False,2026-06-24T03:39:03.292435+00:00
SRC2817_15_1537_priority,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1537_FIRST_PRIORITY_NORM_ROWS.csv,FP1537_4_pair_verdict,source/inner priority blockers,True,True,False,False,2026-06-24T03:39:03.292864+00:00
SRC2817_16_1537_runner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1537_NLOCK_RUNNER_INPUT_NONCLAIM.csv,NLR1537_3_local_lock,lock runner missing inputs,True,True,False,False,2026-06-24T03:39:03.293322+00:00
SRC2817_17_2221_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2221_KMETRIC_KERNEL_NORM_SOURCE_AUDIT.csv,KNA2221_4_local_lock,kernel norm source audit,True,True,False,False,2026-06-24T03:39:03.293792+00:00
SRC2817_18_2734_lcg,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2734_LCG_METRIC_SILENCE_AUDIT.csv,LCGMS2734_5_verdict,preferred Lcg route narrowed,True,True,False,False,2026-06-24T03:39:03.294108+00:00
SRC2817_19_2734_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2734_FIRST_ML_KERNEL_NORM_ROW.csv,MLB2734_2_double_zero_displacement,M_L bound schema,True,True,False,False,2026-06-24T03:39:03.294424+00:00
SRC2817_20_2714_zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2714_LAMBDA_PHI_ZERO_ATTEMPT.csv,LZA2714_1_fixed_point_shortcut,shortcut rejection guard,True,True,False,False,2026-06-24T03:39:03.294752+00:00
SRC2817_21_fp511,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_MIN_PARENT_LOCAL_GR_FIXED_POINT_CONDITIONS.csv,FP511_2_positive_mass_gap,local GR fixed-point condition,True,True,False,False,2026-06-24T03:39:03.295072+00:00
