checkpoint,source_id,source_path,path_exists,needle,needle_found,line_number,note,valid_for_claim,timestamp_utc
4676,SRC4676_13_4430_decision,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4430_DECISION.csv,True,TOTAL_HILBERT_SOURCE_ZERO_SIGNATURE_EXACT,True,2,4430 decision.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_14_4430_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_4430_VALIDATION.csv,True,VAL4430_18_pycache_absent,True,20,4430 validation.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_15_formal446,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\446-PPC4161-total-Hilbert-source-owner-no-source-weight-signature-or-TiPt-DD-map.md,True,C_species=DERIVED_ZERO,True,11,formal 4430 theorem.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_16_4424_deriv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4424_DERIVATION_ROWS.csv,True,CEX4424_2_Hom_no_slot_result,True,4,constructor exhaustion no-slot.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_17_4424_cex,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4424_CONSTRUCTOR_EXHAUSTION_OUTPUT.csv,True,CEX4424_2_Hom_no_slot_if_exhausted,True,4,Hom no-slot gate.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_18_4434_deriv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4434_DERIVATION_ROWS.csv,True,HMGC4434_0_two_lock_zero_theorem,True,2,two-lock theorem.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_19_4434_hbar,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4434_HBAR_MEASURE_OWNER_OUTPUT.csv,True,HMO4434_2_hbar_measure_gap,True,4,hbar/measure gap.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_20_4434_graph,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4434_CONNECTED_GRAPH_OUTPUT.csv,True,GRC4434_2_edge_rows_not_parent_signed,True,4,graph edge gap.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_21_4434_edge_queue,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4434_EDGE_CERTIFICATE_QUEUE.csv,True,EQ4434_0_single_L_to_EM,True,2,first edge queue.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_22_4434_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_4434_VALIDATION.csv,True,VAL4434_20_pycache_absent,True,22,4434 validation.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_23_formal450,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\450-PPC4161-parent-hbar-measure-owner-and-connected-matter-certificate-or-Kmactionscale-value.md,True,w_A=w_*,True,13,formal two-lock theorem.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_24_4435_edge,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4435_ACTION_DENSITY_EDGE_OUTPUT.csv,True,EDGE4435_1_L_parent_to_EM_visible_domain,True,3,first edge attempt.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_25_4435_decision,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4435_DECISION.csv,True,FIRST_EDGE_CERTIFICATE_REDUCED,True,2,4435 decision.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_26_4435_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_4435_VALIDATION.csv,True,VAL4435_18_pycache_absent,True,20,4435 validation.,False,2026-07-07T17:32:13.265899+00:00
