checkpoint,source_id,path,path_exists,needle,needle_found,line_number,role,generated_utc,valid_for_claim
4600,SRC4600_10_no_shadow,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_NO_SHADOW_2488_ZERO_THEOREM.csv,True,ZTH2488_2_current_verdict,True,4,terminal public coframe no-shadow verdict.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_11_no_shadow_counter,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_NO_SHADOW_2488_COUNTERMODEL_LEDGER.csv,True,CM2488_2_source_prefactor,True,4,source-prefactor countermodel.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_12_nh_residual,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_NO_SHADOW_2538_NONHILBERT_RESIDUAL_ROW.csv,True,NHR2538_0_total,True,2,non-Hilbert residual envelope.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_13_nh_total,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4100_NONHILBERT_BYPASS_THEOREM.csv,True,NHB4100_2_total_zero_conditions,True,4,non-Hilbert total zero conditions.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_14_nh_failure,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4100_NONHILBERT_BYPASS_THEOREM.csv,True,NHB4100_3_live_failure,True,5,live non-Hilbert failure.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_15_nh_fallback,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3564_OFFICIAL_NONHILBERT_FALLBACK_ROWS.csv,True,FNH3564_0_total,True,2,official non-Hilbert fallback.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_16_nh_4431,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4431_NONHILBERT_BYPASS_OUTPUT.csv,True,NH4431_3_official_fallback_status,True,5,recent non-Hilbert fallback validation.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_17_shadow_4431,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4431_SOURCE_SHADOW_OUTPUT.csv,True,SH4431_3_source_shadow_current_verdict,True,5,source-shadow verdict.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_18_shadow_split,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4432_SHADOW_SPLIT_OUTPUT.csv,True,SPLIT4432_3_readout_projector_shadow,True,5,source-shadow split.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_19_kmshadow,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4432_KMSHADOW_VALUE_OUTPUT.csv,True,KM4432_4_original_Kmshadow_bound_target,True,6,shadow product bound target.,2026-07-06T14:39:14.700759+00:00,False
4600,SRC4600_20_claim_441,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,True,L-441,True,456,claim-register handoff from 4599.,2026-07-06T14:39:14.700759+00:00,False
