timestamp_utc,branch_id,valid_for_claim,claim_allowed,source_id,source_path,path_exists,expected_needles,needles_found,role
2026-06-20T18:53:54.511412+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_10_943_coframe,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_943_COFRAME_COUPLING_CONTRACT.csv,True,CFC943_4_connection_lock; contract_exact_but_unsigned,True,943 coframe coupling contract remains unsigned.
2026-06-20T18:53:54.512072+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_11_944_descent,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_944_DESCENT_PROOF_GATE.csv,True,QDG944_4_geometry_stack_descent; not_proved_current_corpus,True,944 descent proof gate remains conditional.
2026-06-20T18:53:54.512680+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_12_988_em,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_988_EM_LOCK_THEOREM_GATE.csv,True,EMLOCK988_5_theorem_verdict; conditional_exact_but_not_promoted,True,988 EM lock theorem not promoted.
2026-06-20T18:53:54.513259+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_13_989_em,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_989_EM_LOCK_SIGNATURE_AUDIT.csv,True,ELA989_5_total; not_promoted,True,989 EM lock signature audit not promoted.
2026-06-20T18:53:54.513973+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_14_1068_source,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1068_SOURCE_WORLDTUBE_REQUIREMENTS.csv,True,SWT1068_5_verdict; SOURCE_WORLDTUBE_NOT_ACQUIRED,True,1068 source worldtube not acquired.
2026-06-20T18:53:54.514620+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_15_1068_orbit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1068_MICROSCOPE_ORBIT_READOUT_REQUIREMENTS.csv,True,ORB1068_5_verdict; ORBIT_READOUT_NOT_ACQUIRED,True,1068 orbit/readout not acquired.
2026-06-20T18:53:54.515304+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_16_1071_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1071_OFFICIAL_KERNEL_COMPONENTS.csv,True,KER1071_6_verdict; KERNEL_SKELETON_YES_NUMERIC_TAU_NO,True,1071 official kernel skeleton without numeric tau.
2026-06-20T18:53:54.516462+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_17_1209_domain,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1209_DOMAIN_MOTION_PROJECTOR_STRESS_AUDIT.csv,True,DMP1209_4_total_epsilon_status; LOWERED_NOT_NUMERIC,True,1209 domain/projector stress still not numeric/parent-signed.
2026-06-20T18:53:54.517181+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_18_2099_components,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2099_DELTAGAMMA_COMPONENT_MAP.csv,True,DGM2099_0_spin; DGM2099_6_projective; MAP_REGISTERED_PROJECTION_MISSING,True,2099 component projection maps still missing.
2026-06-20T18:53:54.517807+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_19_2099_blockers,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2099_SCORE_BLOCKERS.csv,True,SBL2099_0_component_values; SBL2099_4_no_cancellation,True,2099 score blockers and no-cancellation guard.
