source_id,source_kind,source_locator,member,needle,source_exists,needle_found,role,source_validated,valid_for_claim,timestamp_utc
SRC4871_10_redteam,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\06-consistency-red-team.md,,115. Third-order tail and C3 arbitration red team,True,True,red-team register,True,False,2026-07-10T17:05:00+01:00
SRC4871_11_spine,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\07-unification-spine.md,,PPC4161 checkpoint 4871,True,True,unification spine,True,False,2026-07-10T17:05:00+01:00
SRC4871_12_resume,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\CURRENT_LOCAL_RESUME.md,,Last checkpoint: `4871-,True,True,resume marker,True,False,2026-07-10T17:05:00+01:00
SRC4871_13_v3_script,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4871_v3_asymptotic_response.py,,numeric_v3_source,True,True,third-order Euler source and BVP,True,False,2026-07-10T17:05:00+01:00
SRC4871_14_surface_script,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4871_asymptotic_surface_identity.py,,surface_identity,True,True,asymptotic current derivation,True,False,2026-07-10T17:05:00+01:00
SRC4871_15_grid_script,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4871_v3_grid_runner.py,,surface_responses,True,True,finite-C tail grid,True,False,2026-07-10T17:05:00+01:00
SRC4871_16_C3_script,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4871_C3_source_arbitration.py,,external_decomposition,True,True,C3 source arbitration,True,False,2026-07-10T17:05:00+01:00
SRC4871_17_generator,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4871_v3_C3_arbitration_gate.py,,"CHECKPOINT = ""4871""",True,True,checkpoint generator,True,False,2026-07-10T17:05:00+01:00
SRC4871_18_grid,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4871_V3_ASYMPTOTIC_RESPONSE.csv,,V3_4871_C0.300_r0.33333333,True,True,executed finite-C response rows,True,False,2026-07-10T17:05:00+01:00
SRC4871_19_yagi,local_primary_archive,D:\Temp\1311.7144-source.tar,paper.tex,\label{ae:mass},True,True,stationary surface variation,True,False,2026-07-10T17:05:00+01:00
SRC4871_20_gupta_v1,local_primary_archive,D:\Temp\2104.04596v1-source.tar,main.tex,\label{tolman_sens_C},True,True,arXiv v1 C3 source,True,False,2026-07-10T17:05:00+01:00
SRC4871_21_gupta_v2,local_primary_archive,D:\Temp\2104.04596-source.tar,main.tex,\label{tolman_sens_C},True,True,arXiv v2 C3 source,True,False,2026-07-10T17:05:00+01:00
SRC4871_22_urls,primary_url_ledger,https://arxiv.org/abs/1311.7144;https://arxiv.org/abs/2104.04596;https://arxiv.org/abs/gr-qc/0509121,,primary URLs recorded,True,True,primary provenance ledger,True,False,2026-07-10T17:05:00+01:00
