source_id,source_path,anchors,role,path_exists,anchors_found,missing_anchors,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC2867_10_2858_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2858-Y5-R2FR-minimal-amplitude-doublet-action-consistency-gate-or-reject-under-AX1090.md,GATE2858_1_sigma_owner;QCA2858_1_Dq,consistency gate doc,True,True,,True,False,False,False,False,2026-06-24T14:00:41.582035+00:00
SRC2867_11_2858_quotient,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2858_QUOTIENT_COMPATIBILITY_AUDIT.csv,QCA2858_0_coordinate_split;QCA2858_1_Dq;QCA2858_5_verdict,amplitude quotient compatibility,True,True,,True,False,False,False,False,2026-06-24T14:00:41.582851+00:00
SRC2867_12_2857_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2857-Y5-R2FR-vertical-generator-source-hunt-or-minimal-action-construction-under-AX1090.md,ANS2857_1_generator;ANS2857_2_quotient_invariant,minimal amplitude generator ansatz,True,True,,True,False,False,False,False,2026-06-24T14:00:41.583795+00:00
SRC2867_13_2857_owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2857_PARENT_OWNERSHIP_GATE.csv,OWN2857_0_sigma;OWN2857_2_generator,parent ownership gates,True,True,,True,False,False,False,False,2026-06-24T14:00:41.584889+00:00
SRC2867_14_2856_obs,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2856_OBSTRUCTION_LEDGER.csv,OBS2856_0_generator;OBS2856_4_sign,variational obstructions,True,True,,True,False,False,False,False,2026-06-24T14:00:41.585878+00:00
SRC2867_15_2851_ansatz,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2851_COMMON_CURRENT_ANSATZ.csv,ANS2851_0_general_source_doublet;ANS2851_1_candidate_owner_ratio,common current ansatz,True,True,,True,False,False,False,False,2026-06-24T14:00:41.586771+00:00
SRC2867_16_2851_proof,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2851_ALGEBRAIC_PROOF_ATTEMPT.csv,ALG2851_3_identity;ALG2851_4_no_free_lunch,algebraic no-free-lunch proof,True,True,,True,False,False,False,False,2026-06-24T14:00:41.587595+00:00
SRC2867_17_2851_req,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2851_PARENT_SIGNATURE_REQUIREMENTS.csv,REQ2851_0_object_language;REQ2851_3_operator_sign,parent signature requirements,True,True,,True,False,False,False,False,2026-06-24T14:00:41.588621+00:00
SRC2867_18_2844_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2844_PARENT_AMPLITUDE_CONTRACT.csv,CONTRACT2844_0_operator;CONTRACT2844_5_sign,parent amplitude contract,True,True,,True,False,False,False,False,2026-06-24T14:00:41.589367+00:00
SRC2867_19_1022_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1022-Y5-R10-vertical-quotient-LX-construction-or-scalar-nohair-branch-choice.md,VQC1022_0_q_map;VQC1022_3_vertical_generator,quotient/vertical construction,True,True,,True,False,False,False,False,2026-06-24T14:00:41.590498+00:00
SRC2867_20_1022_vqc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1022_VERTICAL_QUOTIENT_CONSTRUCTION.csv,VQC1022_0_q_map;VQC1022_3_vertical_generator;VQC1022_7_verdict,vertical quotient construction rows,True,True,,True,False,False,False,False,2026-06-24T14:00:41.591562+00:00
SRC2867_21_1038_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1038-Y5-R10-parent-Omega-DCX-vertical-generator-closure-or-beta-bound-acquisition.md,ODC1038_0_parent_Omega;ODC1038_2_Omega_flat_map;ODC1038_3_vertical_generator_fields,Omega/DCX closure doc,True,True,,True,False,False,False,False,2026-06-24T14:00:41.592991+00:00
SRC2867_22_1038_odc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1038_OMEGA_DCX_CLOSURE_AUDIT.csv,ODC1038_0_parent_Omega;ODC1038_2_Omega_flat_map;ODC1038_8_verdict,Omega/DCX closure audit,True,True,,True,False,False,False,False,2026-06-24T14:00:41.593636+00:00
SRC2867_23_1038_field,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1038_VERTICAL_GENERATOR_FIELD_MAP.csv,metric_or_coframe;domain_memory_projector_fields;matter_readout_constants,vertical generator field map,True,True,,True,False,False,False,False,2026-06-24T14:00:41.594307+00:00
SRC2867_24_590_dvm,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_590_DCDAGGER_VERTICAL_MAP.csv,DVM590_3_precise_map;DVM590_4_raise_index;DVM590_5_zero_mode_implication,DCdagger vertical map,True,True,,True,False,False,False,False,2026-06-24T14:00:41.594886+00:00
SRC2867_25_590_field,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_590_FIELD_BY_FIELD_VERTICAL_ACTION_MAP.csv,metric_or_coframe;domain_memory_projector_fields;matter_readout,field-by-field vertical map,True,True,,True,False,False,False,False,2026-06-24T14:00:41.595504+00:00
SRC2867_26_590_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_590_MAPPING_CLOSURE_GATE.csv,MCG590_0_parent_Omega;MCG590_1_DCX_operator;MCG590_2_vertical_generator,mapping closure gate,True,True,,True,False,False,False,False,2026-06-24T14:00:41.596121+00:00
SRC2867_27_591_cmp,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_591_OMEGA_DCDAGGER_COMPARISON.csv,CMP591_3_current_MTS_Omega;CMP591_5_verdict,Omega/DCdagger comparison,True,True,,True,False,False,False,False,2026-06-24T14:00:41.596693+00:00
SRC2867_28_727_dvm,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_727_DCDAGGER_VERTICAL_MAP.csv,DVM727_3_precise_map;DVM727_4_raise_index;DVM727_5_zero_mode_implication,updated DCdagger vertical map,True,True,,True,False,False,False,False,2026-06-24T14:00:41.597344+00:00
SRC2867_29_728_cmp,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_728_OMEGA_DCDAGGER_COMPARISON.csv,CMP728_3_current_MTS_Omega;CMP728_5_verdict,updated Omega/DCdagger comparison,True,True,,True,False,False,False,False,2026-06-24T14:00:41.598303+00:00
SRC2867_30_2821_dqvm,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2821_DQVM_VERTICAL_RESPONSE_STATUS.csv,DQV2821_0_chain_template;DQV2821_1_RAB;DQV2821_4_Cqm_status,vertical response status,True,True,,True,False,False,False,False,2026-06-24T14:00:41.599451+00:00
SRC2867_31_2827_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2827_VERTICAL_KERNEL_CONDITION.csv,KER2827_0_exact_kernel;KER2827_5_matter_kernel,vertical kernel condition,True,True,,True,False,False,False,False,2026-06-24T14:00:41.600284+00:00
SRC2867_32_2836_vt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2836_RAB_VERTICALITY_THEOREM_ATTEMPT.csv,VT2836_0_exact_kernel_condition;VT2836_4_joint_verdict,RAB verticality theorem attempt,True,True,,True,False,False,False,False,2026-06-24T14:00:41.600847+00:00
SRC2867_33_2836_guards,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2836_VERTICALITY_GUARDS.csv,GUARD2836_0_qshape;GUARD2836_4_local_gr,verticality guards,True,True,,True,False,False,False,False,2026-06-24T14:00:41.601355+00:00
